key,en,zh-Hans
metadata_fields:source_release_date_3,Release date,发布日期
metadata_fields:source_release_date_4,Release date,发布日期
metadata_fields:source_release_date_5,Release date,发布日期
metadata_fields:source_release_date_6,Release date,发布日期
metadata_fields:source_statistical_classification_1,Statistical classification,统计分类
metadata_fields:source_statistical_classification_2,Statistical classification,统计分类
metadata_fields:source_statistical_classification_3,Statistical classification,统计分类
metadata_fields:source_statistical_classification_4,Statistical classification,统计分类
metadata_fields:source_statistical_classification_5,Statistical classification,统计分类
metadata_fields:source_statistical_classification_6,Statistical classification,统计分类
metadata_fields:source_url_1,Link to data source,连接到数据源
metadata_fields:source_url_2,Link to data source,连接到数据源
metadata_fields:source_url_3,Link to data source,连接到数据源
metadata_fields:source_url_4,Link to data source,连接到数据源
metadata_fields:source_url_5,Link to data source,连接到数据源
metadata_fields:source_url_6,Link to data source,连接到数据源
metadata_fields:target,Target name,目标名称
metadata_fields:target_id,Target number,目标数字
metadata_fields:un_custodian_agency,UN custodian agency,联合国托管机构
metadata_fields:un_designated_tier,UN designated tier,联合国指定层
frontpage:heading,%name data for Sustainable Development Goal indicators,
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for %name statistics for Sustainable Development Goal global indicators.",
status:exploring_data_sources,Exploring data sources,探索数据源
status:not_applicable,Not applicable,不适用
status:overall_reporting_status,Overall Reporting Status,整体上报状况
status:reported_online,Reported online,已在线上上报
status:reporting_status,Reporting Status,上报状况
status:statistics_in_progress,Statistics in progress,统计在进行中
status:status_by_goal,Status by goal,目标状况
