key,en,fr
metadata_fields:source_organisation_1,Organisation,Organisation
metadata_fields:source_organisation_2,Organisation,Organisation
metadata_fields:source_organisation_3,Organisation,Organisation
metadata_fields:source_organisation_4,Organisation,Organisation
metadata_fields:source_organisation_5,Organisation,Organisation
metadata_fields:source_organisation_6,Organisation,Organisation
metadata_fields:source_other_info_1,Other information,Les autres informations
metadata_fields:source_other_info_2,Other information,Les autres informations
metadata_fields:source_other_info_3,Other information,Les autres informations
metadata_fields:source_other_info_4,Other information,Les autres informations
metadata_fields:source_other_info_5,Other information,Les autres informations
metadata_fields:source_other_info_6,Other information,Les autres informations
metadata_fields:source_periodicity_1,Periodicity,Périodicité
metadata_fields:source_periodicity_2,Periodicity,Périodicité
metadata_fields:source_periodicity_3,Periodicity,Périodicité
metadata_fields:source_periodicity_4,Periodicity,Périodicité
metadata_fields:source_periodicity_5,Periodicity,Périodicité
metadata_fields:source_periodicity_6,Periodicity,Périodicité
metadata_fields:source_release_date_1,Release date,Date de sortie
metadata_fields:source_release_date_2,Release date,Date de sortie
metadata_fields:source_release_date_3,Release date,Date de sortie
metadata_fields:source_release_date_4,Release date,Date de sortie
metadata_fields:source_release_date_5,Release date,Date de sortie
metadata_fields:source_release_date_6,Release date,Date de sortie
metadata_fields:source_statistical_classification_1,Statistical classification,Classification statistique
metadata_fields:source_statistical_classification_2,Statistical classification,Classification statistique
metadata_fields:source_statistical_classification_3,Statistical classification,Classification statistique
metadata_fields:source_statistical_classification_4,Statistical classification,Classification statistique
metadata_fields:source_statistical_classification_5,Statistical classification,Classification statistique
metadata_fields:source_statistical_classification_6,Statistical classification,Classification statistique
metadata_fields:source_url_1,Link to data source,Lien vers la source de données
metadata_fields:source_url_2,Link to data source,Lien vers la source de données
metadata_fields:source_url_3,Link to data source,Lien vers la source de données
metadata_fields:source_url_4,Link to data source,Lien vers la source de données
metadata_fields:source_url_5,Link to data source,Lien vers la source de données
metadata_fields:source_url_6,Link to data source,Lien vers la source de données
metadata_fields:target,Target name,Nom de la cible
metadata_fields:target_id,Target number,Numéro cible
metadata_fields:un_custodian_agency,UN custodian agency,Agence dépositaire des Nations Unies
metadata_fields:un_designated_tier,UN designated tier,Niveau désigné par les Nations Unies
indicator:chart,Chart,
indicator:clear_all,Clear all,
indicator:clear_selections,Clear selections,
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,
indicator:download_chart,Download Chart CSV,
indicator:download_chart_image,Download Chart Image,
indicator:download_chart_image_title,Download chart as image,
indicator:download_csv,Download CSV,
indicator:download_csv_title,Download as CSV,
indicator:download_headline,Download Headline CSV,
indicator:download_headline_title,Download headline data as CSV,
indicator:download_source,Download Source CSV,
indicator:download_source_title,Download source data as CSV,
indicator:download_table,Download Table CSV,
indicator:edit,Edit,
indicator:edit_data,Edit Data,
indicator:edit_metadata,Edit Metadata,
indicator:footnote,Footnote,
indicator:geographical_area,Geographical Area,
indicator:global_metadata,Global Metadata,
indicator:global_metadata_blurb,"This table provides information on metadata for SDG indicators as defined by the UN Statistical Commission. <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> is provided by the UN Statistics Division.",
indicator:legend_help,Click on the legend to remove individual lines from the chart.,
indicator:loading_map,Loading map,
indicator:map,Map,
indicator:national_metadata,National Metadata,
indicator:national_metadata_blurb,"This table provides metadata for the actual indicator available from %country_adjective statistics closest to the corresponding global SDG indicator. Please note that even when the global SDG indicator is fully available from %country_adjective statistics, this table should be consulted for information on national methodology and other %country_name-specific metadata information.",
indicator:no_data_hint,No options available because of filters above,
indicator:select_all,Select all,
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,
indicator:source,Source,
indicator:sources,Sources,
indicator:sub_categories,Sub-categories,
indicator:table,Table,
indicator:unit_of_measurement,Unit of Measurement,
indicator:units_type,Units type,
indicator:variable_hint,Available when '%field' is selected,
indicator:view_indicator_list,View this goal's indicator list,
global_goals:1---short,No poverty,
global_goals:10---short,Reduced inequalities,
global_goals:11---short,Sustainable cities & communities,
global_goals:12---short,Responsible consumption and production,
global_goals:13---short,Climate action,
global_goals:14---short,Life below water,
global_goals:15---short,Life on land,
global_goals:16---short,Peace and justice - strong institutions,
global_goals:17---short,Partnerships for the goals,
global_goals:2---short,Zero hunger,
global_goals:3---short,Good health and well-being,
global_goals:4---short,Quality education,
global_goals:5---short,Gender equality,
global_goals:6---short,Clean water and sanitation,
global_goals:7---short,Affordable and clean energy,
global_goals:8---short,Decent jobs and economic growth,
global_goals:9---short,"Industry, innovation and infrastructure",
frontpage:heading,%name data for Sustainable Development Goal indicators,
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for %name statistics for Sustainable Development Goal global indicators.",
search:found_in,found in,trouvé dans
search:indicator_search,Indicator search,Recherche d&#39;indicateur
search:keywords,Keywords,Mots clés
search:no_results,No results,Aucun résultat
search:search,Search,Chercher
search:search_results_for,Search results for,Résultats de recherche pour
status:exploring_data_sources,Exploring data sources,Explorer les sources de données
status:not_applicable,Not applicable,Non applicable
status:overall_reporting_status,Overall Reporting Status,Statut général de rapport
status:reported_online,Reported online,Signalé en ligne
status:reporting_status,Reporting Status,Statut de rapport
status:statistics_in_progress,Statistics in progress,Statistiques en cours
status:status_by_goal,Status by goal,Statut par but
menu:about,About,
menu:contact_us,Contact us,
menu:cookies,Cookies,
menu:faq,FAQ,
menu:guidance,Guidance,
menu:menu,Menu,
menu:publications,Publications,
menu:reporting_status,Reporting Status,
